sentence,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
cat apple house book tree tree,1,0,1,0,1,0,0,1,0,2
car tree bird,0,1,0,1,0,0,0,0,0,1
tree cat apple tree house,1,0,0,0,1,0,0,1,0,2
book tree car fish book dog,0,0,2,1,0,1,1,0,0,1
tree tree tree bird,0,1,0,0,0,0,0,0,0,3
book car apple tree book bird,1,1,2,1,0,0,0,0,0,1
phone book fish phone,0,0,1,0,0,0,1,0,2,0
phone tree fish cat,0,0,0,0,1,0,1,0,1,1
tree phone apple,1,0,0,0,0,0,0,0,1,1
tree book book dog fish,0,0,2,0,0,1,1,0,0,1
tree tree book,0,0,1,0,0,0,0,0,0,2
dog book phone,0,0,1,0,0,1,0,0,1,0
fish dog book cat apple,1,0,1,0,1,1,1,0,0,0
phone cat tree fish,0,0,0,0,1,0,1,0,1,1
phone cat tree,0,0,0,0,1,0,0,0,1,1
cat apple tree cat,1,0,0,0,2,0,0,0,0,1
house book phone,0,0,1,0,0,0,0,1,1,0
book fish bird bird dog cat,0,2,1,0,1,1,1,0,0,0
dog tree dog phone phone,0,0,0,0,0,2,0,0,2,1
car apple cat fish cat fish,1,0,0,1,2,0,2,0,0,0
dog dog cat,0,0,0,0,1,2,0,0,0,0
cat apple book bird,1,1,1,0,1,0,0,0,0,0
cat car bird,0,1,0,1,1,0,0,0,0,0
car book car bird house,0,1,1,2,0,0,0,1,0,0
dog phone fish dog tree fish,0,0,0,0,0,2,2,0,1,1
tree dog book phone house book,0,0,2,0,0,1,0,1,1,1
dog car apple phone bird,1,1,0,1,0,1,0,0,1,0
apple car tree,1,0,0,1,0,0,0,0,0,1
book bird bird,0,2,1,0,0,0,0,0,0,0
cat dog tree dog,0,0,0,0,1,2,0,0,0,1
phone apple house,1,0,0,0,0,0,0,1,1,0
book cat house bird,0,1,1,0,1,0,0,1,0,0
car cat tree,0,0,0,1,1,0,0,0,0,1
house bird apple,1,1,0,0,0,0,0,1,0,0
car fish fish book apple bird,1,1,1,1,0,0,2,0,0,0
car book car bird,0,1,1,2,0,0,0,0,0,0
phone cat apple,1,0,0,0,1,0,0,0,1,0
phone book cat car tree cat,0,0,1,1,2,0,0,0,1,1
car bird apple,1,1,0,1,0,0,0,0,0,0
fish car fish cat apple,1,0,0,1,1,0,2,0,0,0
phone apple phone car dog,1,0,0,1,0,1,0,0,2,0
bird phone phone car house cat,0,1,0,1,1,0,0,1,2,0
car phone apple fish,1,0,0,1,0,0,1,0,1,0
house fish cat book tree phone,0,0,1,0,1,0,1,1,1,1
car bird book,0,1,1,1,0,0,0,0,0,0
house apple tree,1,0,0,0,0,0,0,1,0,1
fish dog fish dog,0,0,0,0,0,2,2,0,0,0
tree book book bird dog phone,0,1,2,0,0,1,0,0,1,1
house apple cat,1,0,0,0,1,0,0,1,0,0
bird dog tree apple cat,1,1,0,0,1,1,0,0,0,1
cat car bird,0,1,0,1,1,0,0,0,0,0
bird book fish cat fish house,0,1,1,0,1,0,2,1,0,0
apple car bird tree,1,1,0,1,0,0,0,0,0,1
house cat bird book book tree,0,1,2,0,1,0,0,1,0,1
dog phone book house bird,0,1,1,0,0,1,0,1,1,0
fish car apple tree bird house,1,1,0,1,0,0,1,1,0,1
cat dog tree apple,1,0,0,0,1,1,0,0,0,1
cat book apple bird,1,1,1,0,1,0,0,0,0,0
phone phone car house cat fish,0,0,0,1,1,0,1,1,2,0
tree fish dog,0,0,0,0,0,1,1,0,0,1
house cat cat phone cat phone,0,0,0,0,3,0,0,1,2,0
car house book,0,0,1,1,0,0,0,1,0,0
tree bird dog bird tree,0,2,0,0,0,1,0,0,0,2
fish apple cat book dog apple,2,0,1,0,1,1,1,0,0,0
bird dog house,0,1,0,0,0,1,0,1,0,0
fish phone bird dog book tree,0,1,1,0,0,1,1,0,1,1
dog phone apple,1,0,0,0,0,1,0,0,1,0
phone cat book tree,0,0,1,0,1,0,0,0,1,1
apple house dog phone cat,1,0,0,0,1,1,0,1,1,0
cat apple dog car dog tree,1,0,0,1,1,2,0,0,0,1
bird phone tree,0,1,0,0,0,0,0,0,1,1
house cat car,0,0,0,1,1,0,0,1,0,0
tree apple apple fish,2,0,0,0,0,0,1,0,0,1
bird phone car book apple,1,1,1,1,0,0,0,0,1,0
cat cat phone dog,0,0,0,0,2,1,0,0,1,0
book apple bird,1,1,1,0,0,0,0,0,0,0
dog dog apple bird,1,1,0,0,0,2,0,0,0,0
phone apple apple phone,2,0,0,0,0,0,0,0,2,0
dog house cat,0,0,0,0,1,1,0,1,0,0
car dog book house,0,0,1,1,0,1,0,1,0,0
house house phone,0,0,0,0,0,0,0,2,1,0
tree book house book,0,0,2,0,0,0,0,1,0,1
book cat tree bird fish house,0,1,1,0,1,0,1,1,0,1
dog cat apple dog,1,0,0,0,1,2,0,0,0,0
tree phone house tree,0,0,0,0,0,0,0,1,1,2
cat car fish book book house,0,0,2,1,1,0,1,1,0,0
book apple phone bird apple,2,1,1,0,0,0,0,0,1,0
fish book dog,0,0,1,0,0,1,1,0,0,0
apple car house fish car,1,0,0,2,0,0,1,1,0,0
book house fish car,0,0,1,1,0,0,1,1,0,0
phone cat dog phone,0,0,0,0,1,1,0,0,2,0
house car cat car bird fish,0,1,0,2,1,0,1,1,0,0
cat tree house apple tree,1,0,0,0,1,0,0,1,0,2
bird tree cat,0,1,0,0,1,0,0,0,0,1
fish cat phone,0,0,0,0,1,0,1,0,1,0
bird cat car dog,0,1,0,1,1,1,0,0,0,0
book bird bird,0,2,1,0,0,0,0,0,0,0
bird cat dog,0,1,0,0,1,1,0,0,0,0
cat car cat dog,0,0,0,1,2,1,0,0,0,0
book fish fish house book tree,0,0,2,0,0,0,2,1,0,1
cat tree house cat dog dog,0,0,0,0,2,2,0,1,0,1
car bird car,0,1,0,2,0,0,0,0,0,0
book bird phone bird bird,0,3,1,0,0,0,0,0,1,0
cat book dog house bird,0,1,1,0,1,1,0,1,0,0
dog apple house tree,1,0,0,0,0,1,0,1,0,1
tree car house,0,0,0,1,0,0,0,1,0,1
cat apple fish book cat phone,1,0,1,0,2,0,1,0,1,0
bird book fish,0,1,1,0,0,0,1,0,0,0
cat phone car cat tree,0,0,0,1,2,0,0,0,1,1
house bird bird house car,0,2,0,1,0,0,0,2,0,0
house cat cat book apple cat,1,0,1,0,3,0,0,1,0,0
bird apple apple phone book,2,1,1,0,0,0,0,0,1,0
bird cat cat tree fish bird,0,2,0,0,2,0,1,0,0,1
bird bird cat fish,0,2,0,0,1,0,1,0,0,0
bird car bird tree phone,0,2,0,1,0,0,0,0,1,1
tree tree phone bird,0,1,0,0,0,0,0,0,1,2
dog house dog fish,0,0,0,0,0,2,1,1,0,0
apple car house bird house dog,1,1,0,1,0,1,0,2,0,0
car bird fish,0,1,0,1,0,0,1,0,0,0
apple fish fish,1,0,0,0,0,0,2,0,0,0
phone bird tree cat book house,0,1,1,0,1,0,0,1,1,1
cat dog fish house fish tree,0,0,0,0,1,1,2,1,0,1
house book cat tree tree,0,0,1,0,1,0,0,1,0,2
fish apple apple,2,0,0,0,0,0,1,0,0,0
car phone cat house house dog,0,0,0,1,1,1,0,2,1,0
bird cat book fish dog,0,1,1,0,1,1,1,0,0,0
car cat apple apple apple,3,0,0,1,1,0,0,0,0,0
house cat dog bird,0,1,0,0,1,1,0,1,0,0
apple bird house,1,1,0,0,0,0,0,1,0,0
house phone phone phone car,0,0,0,1,0,0,0,1,3,0
car phone apple phone phone car,1,0,0,2,0,0,0,0,3,0
fish tree bird dog,0,1,0,0,0,1,1,0,0,1
cat book phone bird,0,1,1,0,1,0,0,0,1,0
car bird apple apple,2,1,0,1,0,0,0,0,0,0
car house cat,0,0,0,1,1,0,0,1,0,0
apple cat house phone,1,0,0,0,1,0,0,1,1,0
apple fish tree,1,0,0,0,0,0,1,0,0,1
book phone phone,0,0,1,0,0,0,0,0,2,0
phone car tree fish bird,0,1,0,1,0,0,1,0,1,1
phone dog dog,0,0,0,0,0,2,0,0,1,0
car cat phone apple,1,0,0,1,1,0,0,0,1,0
apple fish apple bird dog cat,2,1,0,0,1,1,1,0,0,0
cat book book cat fish book,0,0,3,0,2,0,1,0,0,0
dog fish cat apple phone dog,1,0,0,0,1,2,1,0,1,0
house dog dog book dog,0,0,1,0,0,3,0,1,0,0
book book dog phone fish fish,0,0,2,0,0,1,2,0,1,0
dog dog apple phone,1,0,0,0,0,2,0,0,1,0
cat dog dog,0,0,0,0,1,2,0,0,0,0
phone fish dog tree,0,0,0,0,0,1,1,0,1,1
phone book dog dog,0,0,1,0,0,2,0,0,1,0
tree bird phone,0,1,0,0,0,0,0,0,1,1
fish dog car phone dog,0,0,0,1,0,2,1,0,1,0
tree book phone book,0,0,2,0,0,0,0,0,1,1
tree phone apple,1,0,0,0,0,0,0,0,1,1
cat fish bird tree,0,1,0,0,1,0,1,0,0,1
house house car cat apple,1,0,0,1,1,0,0,2,0,0
car bird dog cat cat,0,1,0,1,2,1,0,0,0,0
phone tree car dog apple,1,0,0,1,0,1,0,0,1,1
fish tree dog house apple,1,0,0,0,0,1,1,1,0,1
bird book house,0,1,1,0,0,0,0,1,0,0
house dog apple fish bird,1,1,0,0,0,1,1,1,0,0
bird dog phone cat tree phone,0,1,0,0,1,1,0,0,2,1
dog book tree,0,0,1,0,0,1,0,0,0,1
car house book book tree car,0,0,2,2,0,0,0,1,0,1
bird house apple house cat phone,1,1,0,0,1,0,0,2,1,0
apple tree fish,1,0,0,0,0,0,1,0,0,1
dog house apple,1,0,0,0,0,1,0,1,0,0
house fish bird car,0,1,0,1,0,0,1,1,0,0
cat house bird book,0,1,1,0,1,0,0,1,0,0
tree phone book dog dog car,0,0,1,1,0,2,0,0,1,1
bird book phone house,0,1,1,0,0,0,0,1,1,0
fish tree phone phone,0,0,0,0,0,0,1,0,2,1
book book bird cat house cat,0,1,2,0,2,0,0,1,0,0
book cat house,0,0,1,0,1,0,0,1,0,0
cat fish book,0,0,1,0,1,0,1,0,0,0
bird apple dog bird,1,2,0,0,0,1,0,0,0,0
car apple dog book,1,0,1,1,0,1,0,0,0,0
book tree tree,0,0,1,0,0,0,0,0,0,2
car phone dog tree car apple,1,0,0,2,0,1,0,0,1,1
house car dog phone book bird,0,1,1,1,0,1,0,1,1,0
phone dog tree cat phone,0,0,0,0,1,1,0,0,2,1
tree apple dog dog car fish,1,0,0,1,0,2,1,0,0,1
house car dog,0,0,0,1,0,1,0,1,0,0
cat house tree,0,0,0,0,1,0,0,1,0,1
cat house bird book,0,1,1,0,1,0,0,1,0,0
phone phone cat house car car,0,0,0,2,1,0,0,1,2,0
apple phone tree bird car,1,1,0,1,0,0,0,0,1,1
car tree fish,0,0,0,1,0,0,1,0,0,1
fish phone bird phone book,0,1,1,0,0,0,1,0,2,0
bird book apple fish,1,1,1,0,0,0,1,0,0,0
bird dog car phone book car,0,1,1,2,0,1,0,0,1,0
cat book phone apple phone,1,0,1,0,1,0,0,0,2,0
apple apple apple book cat bird,3,1,1,0,1,0,0,0,0,0
cat apple apple cat,2,0,0,0,2,0,0,0,0,0
book car fish bird,0,1,1,1,0,0,1,0,0,0
fish apple tree apple dog cat,2,0,0,0,1,1,1,0,0,1
bird phone car tree,0,1,0,1,0,0,0,0,1,1
book house house,0,0,1,0,0,0,0,2,0,0
phone book fish bird,0,1,1,0,0,0,1,0,1,0
bird tree phone,0,1,0,0,0,0,0,0,1,1
apple phone bird car phone apple,2,1,0,1,0,0,0,0,2,0
bird apple apple phone fish book,2,1,1,0,0,0,1,0,1,0
car dog apple book cat bird,1,1,1,1,1,1,0,0,0,0
bird tree house phone cat,0,1,0,0,1,0,0,1,1,1
fish fish phone phone,0,0,0,0,0,0,2,0,2,0
fish cat dog apple dog dog,1,0,0,0,1,3,1,0,0,0
apple cat book,1,0,1,0,1,0,0,0,0,0
phone bird bird bird cat,0,3,0,0,1,0,0,0,1,0
tree tree house cat,0,0,0,0,1,0,0,1,0,2
phone car dog dog cat,0,0,0,1,1,2,0,0,1,0
dog bird apple car book tree,1,1,1,1,0,1,0,0,0,1
dog fish fish,0,0,0,0,0,1,2,0,0,0
bird dog fish book dog house,0,1,1,0,0,2,1,1,0,0
fish apple book book apple book,2,0,3,0,0,0,1,0,0,0
house dog car,0,0,0,1,0,1,0,1,0,0
apple tree book bird car tree,1,1,1,1,0,0,0,0,0,2
dog car apple,1,0,0,1,0,1,0,0,0,0
fish fish cat house car,0,0,0,1,1,0,2,1,0,0
house bird phone car,0,1,0,1,0,0,0,1,1,0
phone dog cat,0,0,0,0,1,1,0,0,1,0
fish tree fish car apple house,1,0,0,1,0,0,2,1,0,1
car dog fish fish fish,0,0,0,1,0,1,3,0,0,0
bird fish tree cat apple phone,1,1,0,0,1,0,1,0,1,1
phone book fish dog tree car,0,0,1,1,0,1,1,0,1,1
house tree book cat,0,0,1,0,1,0,0,1,0,1
house dog car,0,0,0,1,0,1,0,1,0,0
house fish tree apple car apple,2,0,0,1,0,0,1,1,0,1
cat car apple dog,1,0,0,1,1,1,0,0,0,0
book car apple car,1,0,1,2,0,0,0,0,0,0
book tree tree,0,0,1,0,0,0,0,0,0,2
phone car apple fish fish house,1,0,0,1,0,0,2,1,1,0
phone bird book bird phone cat,0,2,1,0,1,0,0,0,2,0
bird car dog,0,1,0,1,0,1,0,0,0,0
book book bird,0,1,2,0,0,0,0,0,0,0
house house phone phone apple apple,2,0,0,0,0,0,0,2,2,0
car dog phone bird,0,1,0,1,0,1,0,0,1,0
cat tree tree,0,0,0,0,1,0,0,0,0,2
bird bird phone house dog book,0,2,1,0,0,1,0,1,1,0
tree phone bird apple,1,1,0,0,0,0,0,0,1,1
book apple cat car,1,0,1,1,1,0,0,0,0,0
house apple bird dog house,1,1,0,0,0,1,0,2,0,0
fish house bird phone fish,0,1,0,0,0,0,2,1,1,0
book fish car bird,0,1,1,1,0,0,1,0,0,0
phone bird apple fish,1,1,0,0,0,0,1,0,1,0
book tree phone tree tree,0,0,1,0,0,0,0,0,1,3
tree bird phone,0,1,0,0,0,0,0,0,1,1
cat book cat tree car,0,0,1,1,2,0,0,0,0,1
fish bird dog apple book,1,1,1,0,0,1,1,0,0,0
phone fish cat tree fish book,0,0,1,0,1,0,2,0,1,1
book tree dog fish book dog,0,0,2,0,0,2,1,0,0,1
tree bird book house bird,0,2,1,0,0,0,0,1,0,1
car apple apple tree dog,2,0,0,1,0,1,0,0,0,1
bird cat car,0,1,0,1,1,0,0,0,0,0
book dog car dog bird,0,1,1,1,0,2,0,0,0,0
cat bird house,0,1,0,0,1,0,0,1,0,0
tree car book fish,0,0,1,1,0,0,1,0,0,1
house tree tree apple dog,1,0,0,0,0,1,0,1,0,2
fish bird cat apple,1,1,0,0,1,0,1,0,0,0
dog cat cat cat fish dog,0,0,0,0,3,2,1,0,0,0
book tree car apple phone,1,0,1,1,0,0,0,0,1,1
tree house house bird cat,0,1,0,0,1,0,0,2,0,1
fish phone dog,0,0,0,0,0,1,1,0,1,0
house cat phone car,0,0,0,1,1,0,0,1,1,0
tree bird apple,1,1,0,0,0,0,0,0,0,1
apple apple bird bird bird bird,2,4,0,0,0,0,0,0,0,0
fish cat dog tree house,0,0,0,0,1,1,1,1,0,1
tree fish dog tree bird car,0,1,0,1,0,1,1,0,0,2
bird fish apple,1,1,0,0,0,0,1,0,0,0
book phone book,0,0,2,0,0,0,0,0,1,0
house fish car,0,0,0,1,0,0,1,1,0,0
car car apple fish bird phone,1,1,0,2,0,0,1,0,1,0
tree tree cat tree bird,0,1,0,0,1,0,0,0,0,3
phone car fish,0,0,0,1,0,0,1,0,1,0
cat phone fish house car,0,0,0,1,1,0,1,1,1,0
apple fish house,1,0,0,0,0,0,1,1,0,0
cat tree car house,0,0,0,1,1,0,0,1,0,1
fish phone fish,0,0,0,0,0,0,2,0,1,0
book cat fish fish dog,0,0,1,0,1,1,2,0,0,0
car phone cat dog,0,0,0,1,1,1,0,0,1,0
bird house cat book bird,0,2,1,0,1,0,0,1,0,0
fish car bird,0,1,0,1,0,0,1,0,0,0
fish book house tree dog apple,1,0,1,0,0,1,1,1,0,1
cat house house tree book bird,0,1,1,0,1,0,0,2,0,1
car bird bird car phone,0,2,0,2,0,0,0,0,1,0
tree bird dog,0,1,0,0,0,1,0,0,0,1
phone apple fish dog fish,1,0,0,0,0,1,2,0,1,0
house book fish book dog cat,0,0,2,0,1,1,1,1,0,0
bird bird house cat house bird,0,3,0,0,1,0,0,2,0,0
car bird dog bird house book,0,2,1,1,0,1,0,1,0,0
book tree book book phone,0,0,3,0,0,0,0,0,1,1
cat fish dog house phone,0,0,0,0,1,1,1,1,1,0
tree tree fish,0,0,0,0,0,0,1,0,0,2
bird dog book book,0,1,2,0,0,1,0,0,0,0
dog cat apple dog phone tree,1,0,0,0,1,2,0,0,1,1
car cat book car tree,0,0,1,2,1,0,0,0,0,1
bird house fish car car,0,1,0,2,0,0,1,1,0,0
book bird tree apple tree,1,1,1,0,0,0,0,0,0,2
phone tree cat cat,0,0,0,0,2,0,0,0,1,1
book house house phone fish,0,0,1,0,0,0,1,2,1,0
house dog house cat book book,0,0,2,0,1,1,0,2,0,0
tree book tree,0,0,1,0,0,0,0,0,0,2
fish house phone phone tree book,0,0,1,0,0,0,1,1,2,1
book bird cat book,0,1,2,0,1,0,0,0,0,0
house apple phone,1,0,0,0,0,0,0,1,1,0
house book bird dog,0,1,1,0,0,1,0,1,0,0
tree apple house tree,1,0,0,0,0,0,0,1,0,2
bird cat fish car,0,1,0,1,1,0,1,0,0,0
tree dog dog phone book,0,0,1,0,0,2,0,0,1,1
cat bird phone bird,0,2,0,0,1,0,0,0,1,0
fish cat fish,0,0,0,0,1,0,2,0,0,0
tree house fish book bird tree,0,1,1,0,0,0,1,1,0,2
cat house dog book house tree,0,0,1,0,1,1,0,2,0,1
fish fish car dog,0,0,0,1,0,1,2,0,0,0
fish cat fish phone cat,0,0,0,0,2,0,2,0,1,0
car book tree tree car,0,0,1,2,0,0,0,0,0,2
tree dog book fish house bird,0,1,1,0,0,1,1,1,0,1
phone house cat house bird,0,1,0,0,1,0,0,2,1,0
dog apple bird house,1,1,0,0,0,1,0,1,0,0
apple house book,1,0,1,0,0,0,0,1,0,0
apple bird bird dog,1,2,0,0,0,1,0,0,0,0
car phone cat fish,0,0,0,1,1,0,1,0,1,0
tree dog dog,0,0,0,0,0,2,0,0,0,1
book fish bird,0,1,1,0,0,0,1,0,0,0
cat book fish car tree,0,0,1,1,1,0,1,0,0,1
dog car cat phone cat phone,0,0,0,1,2,1,0,0,2,0
fish bird tree house,0,1,0,0,0,0,1,1,0,1
bird car dog cat,0,1,0,1,1,1,0,0,0,0
dog apple dog bird,1,1,0,0,0,2,0,0,0,0
car bird dog tree phone book,0,1,1,1,0,1,0,0,1,1
house phone cat apple book,1,0,1,0,1,0,0,1,1,0
dog dog dog tree phone phone,0,0,0,0,0,3,0,0,2,1
dog car book apple house car,1,0,1,2,0,1,0,1,0,0
book house cat,0,0,1,0,1,0,0,1,0,0
house car fish fish,0,0,0,1,0,0,2,1,0,0
book bird bird book house,0,2,2,0,0,0,0,1,0,0
tree cat phone dog tree book,0,0,1,0,1,1,0,0,1,2
apple tree fish dog tree book,1,0,1,0,0,1,1,0,0,2
book dog dog,0,0,1,0,0,2,0,0,0,0
dog book house tree tree,0,0,1,0,0,1,0,1,0,2
fish house fish cat tree,0,0,0,0,1,0,2,1,0,1
fish car car tree,0,0,0,2,0,0,1,0,0,1
apple house house fish cat,1,0,0,0,1,0,1,2,0,0
house apple tree,1,0,0,0,0,0,0,1,0,1
apple phone fish,1,0,0,0,0,0,1,0,1,0
fish car fish car bird,0,1,0,2,0,0,2,0,0,0
car book house dog,0,0,1,1,0,1,0,1,0,0
cat apple house book car,1,0,1,1,1,0,0,1,0,0
tree fish apple car,1,0,0,1,0,0,1,0,0,1
cat phone tree apple,1,0,0,0,1,0,0,0,1,1
bird apple fish car house cat,1,1,0,1,1,0,1,1,0,0
cat fish apple car dog cat,1,0,0,1,2,1,1,0,0,0
phone dog cat,0,0,0,0,1,1,0,0,1,0
dog cat car bird,0,1,0,1,1,1,0,0,0,0
tree car dog tree cat,0,0,0,1,1,1,0,0,0,2
bird book cat,0,1,1,0,1,0,0,0,0,0
phone dog apple fish,1,0,0,0,0,1,1,0,1,0
house fish cat bird phone,0,1,0,0,1,0,1,1,1,0
fish apple bird,1,1,0,0,0,0,1,0,0,0
car house book apple fish fish,1,0,1,1,0,0,2,1,0,0
cat house tree,0,0,0,0,1,0,0,1,0,1
cat cat apple bird phone bird,1,2,0,0,2,0,0,0,1,0
apple dog tree apple book,2,0,1,0,0,1,0,0,0,1
book car bird dog,0,1,1,1,0,1,0,0,0,0
fish apple phone bird,1,1,0,0,0,0,1,0,1,0
phone car fish book fish,0,0,1,1,0,0,2,0,1,0
car book phone phone,0,0,1,1,0,0,0,0,2,0
book house apple phone car book,1,0,2,1,0,0,0,1,1,0
book tree dog tree,0,0,1,0,0,1,0,0,0,2
cat book fish dog,0,0,1,0,1,1,1,0,0,0
cat tree book bird car house,0,1,1,1,1,0,0,1,0,1
book house car dog apple cat,1,0,1,1,1,1,0,1,0,0
car phone fish fish,0,0,0,1,0,0,2,0,1,0
cat phone tree book house phone,0,0,1,0,1,0,0,1,2,1
car cat bird fish,0,1,0,1,1,0,1,0,0,0
fish fish dog,0,0,0,0,0,1,2,0,0,0
cat fish house book house apple,1,0,1,0,1,0,1,2,0,0
fish bird house cat tree fish,0,1,0,0,1,0,2,1,0,1
tree phone house,0,0,0,0,0,0,0,1,1,1
tree book bird fish,0,1,1,0,0,0,1,0,0,1
fish tree apple,1,0,0,0,0,0,1,0,0,1
bird apple bird,1,2,0,0,0,0,0,0,0,0
dog phone car phone bird,0,1,0,1,0,1,0,0,2,0
house phone dog tree tree house,0,0,0,0,0,1,0,2,1,2
tree phone car phone,0,0,0,1,0,0,0,0,2,1
house book tree car fish,0,0,1,1,0,0,1,1,0,1
book house dog fish apple apple,2,0,1,0,0,1,1,1,0,0
cat house car cat bird car,0,1,0,2,2,0,0,1,0,0
tree cat phone cat dog car,0,0,0,1,2,1,0,0,1,1
car house fish book,0,0,1,1,0,0,1,1,0,0
cat bird book cat,0,1,1,0,2,0,0,0,0,0
cat bird house fish phone,0,1,0,0,1,0,1,1,1,0
fish tree tree cat book,0,0,1,0,1,0,1,0,0,2
phone bird fish tree,0,1,0,0,0,0,1,0,1,1
car book fish car bird house,0,1,1,2,0,0,1,1,0,0
bird car tree,0,1,0,1,0,0,0,0,0,1
apple car dog,1,0,0,1,0,1,0,0,0,0
dog tree tree car bird,0,1,0,1,0,1,0,0,0,2
phone book cat tree,0,0,1,0,1,0,0,0,1,1
car bird dog,0,1,0,1,0,1,0,0,0,0
fish apple fish book dog house,1,0,1,0,0,1,2,1,0,0
book bird phone,0,1,1,0,0,0,0,0,1,0
bird phone tree dog car,0,1,0,1,0,1,0,0,1,1
dog book cat,0,0,1,0,1,1,0,0,0,0
apple book tree apple apple house,3,0,1,0,0,0,0,1,0,1
apple phone bird apple house,2,1,0,0,0,0,0,1,1,0
book house apple car car fish,1,0,1,2,0,0,1,1,0,0
phone tree apple,1,0,0,0,0,0,0,0,1,1
house dog apple apple,2,0,0,0,0,1,0,1,0,0
fish apple tree bird dog fish,1,1,0,0,0,1,2,0,0,1
fish book car bird book car,0,1,2,2,0,0,1,0,0,0
apple book tree phone fish cat,1,0,1,0,1,0,1,0,1,1
apple tree tree,1,0,0,0,0,0,0,0,0,2
phone bird tree apple house,1,1,0,0,0,0,0,1,1,1
dog house cat cat,0,0,0,0,2,1,0,1,0,0
car dog tree tree,0,0,0,1,0,1,0,0,0,2
dog house tree phone fish,0,0,0,0,0,1,1,1,1,1
dog house fish,0,0,0,0,0,1,1,1,0,0
dog book phone car,0,0,1,1,0,1,0,0,1,0
tree book cat car phone apple,1,0,1,1,1,0,0,0,1,1
cat tree bird car phone,0,1,0,1,1,0,0,0,1,1
dog car bird,0,1,0,1,0,1,0,0,0,0
dog apple book tree tree car,1,0,1,1,0,1,0,0,0,2
apple bird fish book,1,1,1,0,0,0,1,0,0,0
book apple house tree,1,0,1,0,0,0,0,1,0,1
tree cat apple,1,0,0,0,1,0,0,0,0,1
house house phone apple,1,0,0,0,0,0,0,2,1,0
tree fish bird phone tree,0,1,0,0,0,0,1,0,1,2
phone phone bird fish,0,1,0,0,0,0,1,0,2,0
dog car dog house car dog,0,0,0,2,0,3,0,1,0,0
house phone dog apple house,1,0,0,0,0,1,0,2,1,0
apple book apple cat dog tree,2,0,1,0,1,1,0,0,0,1
cat bird phone,0,1,0,0,1,0,0,0,1,0
cat bird phone dog,0,1,0,0,1,1,0,0,1,0
tree tree phone bird,0,1,0,0,0,0,0,0,1,2
fish house house,0,0,0,0,0,0,1,2,0,0
car cat book dog,0,0,1,1,1,1,0,0,0,0
tree car car tree,0,0,0,2,0,0,0,0,0,2
bird apple tree car,1,1,0,1,0,0,0,0,0,1
dog cat book tree book,0,0,2,0,1,1,0,0,0,1
cat book bird car phone,0,1,1,1,1,0,0,0,1,0
phone bird apple fish,1,1,0,0,0,0,1,0,1,0
cat phone car tree book tree,0,0,1,1,1,0,0,0,1,2
dog car phone phone book phone,0,0,1,1,0,1,0,0,3,0
apple cat apple book car bird,2,1,1,1,1,0,0,0,0,0
cat phone tree tree,0,0,0,0,1,0,0,0,1,2
tree house cat apple dog,1,0,0,0,1,1,0,1,0,1
book tree car,0,0,1,1,0,0,0,0,0,1
tree dog house fish book apple,1,0,1,0,0,1,1,1,0,1
apple cat book fish house,1,0,1,0,1,0,1,1,0,0
house car tree cat cat book,0,0,1,1,2,0,0,1,0,1
car car cat,0,0,0,2,1,0,0,0,0,0
car phone dog,0,0,0,1,0,1,0,0,1,0
dog apple fish phone car,1,0,0,1,0,1,1,0,1,0
book cat dog,0,0,1,0,1,1,0,0,0,0
tree phone tree tree car tree,0,0,0,1,0,0,0,0,1,4
car phone bird tree,0,1,0,1,0,0,0,0,1,1
cat cat apple,1,0,0,0,2,0,0,0,0,0
dog book dog apple car,1,0,1,1,0,2,0,0,0,0
tree fish apple apple apple cat,3,0,0,0,1,0,1,0,0,1
book apple book house apple bird,2,1,2,0,0,0,0,1,0,0
cat apple car cat fish cat,1,0,0,1,3,0,1,0,0,0
dog bird cat,0,1,0,0,1,1,0,0,0,0
bird fish apple car cat,1,1,0,1,1,0,1,0,0,0
apple book cat bird,1,1,1,0,1,0,0,0,0,0
tree cat tree bird bird,0,2,0,0,1,0,0,0,0,2
car apple fish book,1,0,1,1,0,0,1,0,0,0
apple apple book tree apple,3,0,1,0,0,0,0,0,0,1
cat fish phone cat dog,0,0,0,0,2,1,1,0,1,0
apple house dog,1,0,0,0,0,1,0,1,0,0
house cat apple car dog book,1,0,1,1,1,1,0,1,0,0
book book book,0,0,3,0,0,0,0,0,0,0
tree house fish fish,0,0,0,0,0,0,2,1,0,1
car cat cat fish fish dog,0,0,0,1,2,1,2,0,0,0
cat car apple,1,0,0,1,1,0,0,0,0,0
tree phone house phone book,0,0,1,0,0,0,0,1,2,1
fish house house phone fish phone,0,0,0,0,0,0,2,2,2,0
dog bird car phone,0,1,0,1,0,1,0,0,1,0
fish car fish tree,0,0,0,1,0,0,2,0,0,1
cat bird apple tree bird cat,1,2,0,0,2,0,0,0,0,1
bird car bird car,0,2,0,2,0,0,0,0,0,0
fish cat apple phone,1,0,0,0,1,0,1,0,1,0
car phone house cat fish dog,0,0,0,1,1,1,1,1,1,0
fish book dog tree car tree,0,0,1,1,0,1,1,0,0,2
fish bird tree bird,0,2,0,0,0,0,1,0,0,1
phone tree tree house phone book,0,0,1,0,0,0,0,1,2,2
